lessonId	order	title	chars	words	hasVideo	active
Y4M2	1	Number and Place Value 1	501	80	true	true
Y4M36	1	Transition to Level 1	0	0	false	true
Y4M3	2	Number and Place Value 2	500	80	true	true
Y4M4	3	Number and Place Value 3	418	67	true	true
Y4M5	4	Number and Place Value 4	400	61	true	true
Y4M6	5	Number and Place Value 5	400	61	true	true
Y4M7	6	Number and Place Value 6	400	61	true	true
Y4M9	7	Addition	325	51	true	true
Y4M10	8	Subtraction	419	64	true	true
Y4M12	9	Addition and Subtraction	364	51	true	true
Y4M14	10	Rule of 3	313	44	true	true
Y4M15	11	Converting Lengths	305	47	true	true
Y4M16	12	Comparing and Calculating Lengths	322	47	true	true
Y4M13	13	Area	340	53	true	true
Y4M17	14	Perimeter	0	0	false	true
Y4M18	15	Fractions 1	405	63	true	true
Y4M19	16	Fractions 2	350	55	true	true
Y4M20	17	Fractions 3	338	49	true	true
Y4M21	18	Fractions 4	385	59	true	true
Y4M22	19	Fractions 5	59	7	true	true
Y4M23	20	Fractions 6	340	52	true	true
Y4M24	21	Fractions 7	392	61	true	true
Y4M32	21	Multiplication and Division	3174	505	true	true
Y4M1	22	Estimate, Compare & Calculate Money	760	122	true	true
Y4M37	23	Money 1	576	95	true	true
Y4M38	24	Money 2	629	106	true	true
Y4M39	25	Money 3	440	66	true	true
Y4M25	26	Time 1	869	146	true	true
Y4M26	27	Time 2	878	138	true	true
Y4M27	28	Time 3	807	128	true	true
Y4M28	29	Time 4	850	129	true	true
Y4M29	30	Statistics 1	2481	399	true	true
Y4M30	31	Statistics 2	3184	496	true	true
Y4M31	32	Statistics 3	2977	456	true	true
Y4M33	33	Shapes 1	3464	546	true	true
Y4M34	34	Shapes 2	3182	445	true	true
Y4M35	35	Shapes 3	3929	579	true	true
